"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"GM12689",0.256088399191394,0,0,0.287147494154012
"RPL23A-PS1",0,0,0,0
"ZFP352",0,0,0,0
"IFNA4",0,0,0,0
"GM13288",0.353401990884123,0,0,1.14858997661605
"KLHL9",799.794801282625,805.084955502927,787.67846357003,785.744660053154
"SPEER4D",0,0,0,0
"RRAGA",699.633506590887,695.51285368502,642.770798553914,679.103823674237
"TGFBRAP1",534.456489112438,549.266721895206,566.974707490923,517.439784465529
"IL1RL2",0.768265197574181,0.843727683402774,0.997316987670929,0.574294988308023
"OR1AK2",0,0,0,0
"RABEPK",255.832310792202,253.680790143101,233.621504361915,268.195759539847
"GM19680",1.76188818643679,3.06273149075207,4.60012460563216,3.81044724742373
"DNAJC25",90.6552933137533,91.6850749297681,110.452856384555,78.9655608923532
"DEFB44-PS",0,0,0,0
"ACTL7A",0,0,0,0.287147494154012
"ACTL7B",0,0,0,0
"OR13D1",0,0,0,0
"ACNAT1",0,0,0,0
"FOXE1",0,0,0,0
"GM6313",0,0,0,0
"1700055D18RIK",5.88235052942631,1.40621280567129,3.04929668980386,6.32298782127133
"CCIN",0.256088399191394,0.562485122268516,0.498658493835464,0.574294988308023
"OR13C7",0,0,0,0
"HRCT1",6.14612158059345,2.53118305020832,4.48792644451918,3.73291742400215
"CCL19",0,0,0,0
"NDUFB6",385.914974045463,345.928350195137,329.613264425242,371.281709941137
"GM136",0,0,0,0
"SDR16C6",0,0,0,0
"GM10308",0,0,0,0
"GM5499",1.79261879433976,1.12497024453703,1.99463397534186,2.5843274473861
"GM10309",0,0.281242561134258,0,0
"CAMKMT",34.8280222900295,37.1240180697221,33.1607898400584,34.4576992984814
"GM9386",0,0,0,0
"IMPDH2-PS",16.1335691490578,13.578390851562,13.2418763038008,13.4528601011154
"RASGRP3",0,0,0,0
"CES1A",0,0,0,0
"RPL7A-PS5",0,0.570922399102544,0.25182253938691,0.290018969095552
"SAFB",1682.09104124875,1680.45523945892,1700.8568035761,1702.6956246101
"ZFP827",416.143648686015,392.052130221156,412.639903648847,424.978291347937
"OR6C213",0,0,0,0
"TREML2",0,0,0,0
"PTGES3",2474.58220138644,2638.33646600047,2663.58434482213,2653.81714097138
"LRRC73",31.24278470135,29.5304689190971,29.1715218893747,28.7147494154012
"YIPF3",691.694766215954,691.294215268006,682.663478060751,697.768410794248
"JUND",4857.01099232385,4598.80523660149,4507.60350868593,4694.43080817686
"NR2C2AP",271.922344913397,316.513190726105,288.905278280984,291.764825860008
"TRIM75",0,0,0,0
"GM10313",0,0,0,0
"1700029J07RIK",11.0118011652299,14.0621280567129,13.2144500866398,11.1987522720065
"CCDC110",0,0,0,0
"SPX",0.512176798382787,0.281242561134258,0.249329246917732,0.287147494154012
"MBOAT4",0,0,0,0
"TEX24",0,0,0,0
"RPL36A-PS3",0,0,0,0
"TAS2R140",0,0,0,0
"TAS2R115",0,0,0,0
"TAS2R121",0,0,0,0
"GM4799",0,0.281242561134258,0.249329246917732,0
"KLRH1",0,0,0,0
"GM6040",0,0,0,0
"DEFB46",0,0,0,0
"SRSF3",5208.36427601444,4847.02710863298,4735.73976961565,5146.30333382726
"ARHGEF10",466.080886528336,496.6743629631,476.717520106704,472.931922871657
"SERPINA1D",0,0,0.249329246917732,0
"SERPINA1B",0.256088399191394,0,0.249329246917732,0
"SERPINA16",0,0,0,0
"SMIM15",461.983472141274,494.424422474026,481.205446551223,479.823462731353
"3830408C21RIK",0.256088399191394,0,0.997316987670929,0
"OR1I2",0,0,0,0
"WFIKKN1",1.79261879433976,6.74982146722219,2.24396322225959,3.15862243569413
"GM10318",0,0,0,0
"CCDC78",0.768265197574181,1.40621280567129,0,2.29717995323209
"NAIP5",0,0.281242561134258,0,0
"GM10319",0,0,0,0
"GM8587",0,0,0,0
"CECR2",9.73135916927296,9.56224707856477,8.97585288903836,8.61442482462035
"TIMM8A2",0,0,0,0
"NPW",0,0,0,0
"SYNDIG1L",0,0,0,0
"VRTN",0.256088399191394,0,0,0
"GEMIN6-PS",0,0,0,0
"2210408I21RIK",39.693701874666,22.2181623296064,35.9034115561534,30.4376343803252
"SLC25A16",461.983472141274,497.236848085368,478.712154082046,467.476120482731
"ZFP213",267.809565222384,276.174570182619,263.042355498207,264.296296569235
"ZFP957",0.256088399191394,0,0,0
"1700086L19RIK",0,0,0,0
"ZFP946",196.419802179799,238.212449280717,211.680530633155,207.320490779196
"ZFP942",251.990984804331,295.867174313239,264.039672485878,274.513004411235
"GM5145",0,0,0,0
"FPR-RS6",0,0,0,0
"FPR-RS7",0,0,0,0
"GM10322",0,0,0,0
"ZFP65",132.653790781142,134.433944222175,136.881756557835,139.55368215885
"ZFP58",51.389259065737,71.7168530892358,72.8041400999778,74.945495974197
"CBX3-PS4",0,0,0,0
"2610044O15RIK8",154.677393111602,150.183527645694,162.562668990361,176.308561410563
"RPS8-PS1",0.256088399191394,0,0,0
"GPR31B",0,0,0,0.287147494154012
"BVES",0,0,0,0
"TCP10A",0,0,0,0
"ARMC2",7.68265197574181,5.62485122268516,4.98658493835464,7.17868735385029
"E230015B07RIK",0,0.281242561134258,0.498658493835464,1.72288496492407
"MFSD4B3-PS",0,0,0,0
"TIA1",679.402523054767,745.574029566918,696.376586641226,730.216077633651
"TRAPPC3L",0,0,0,0
"EGR4",0.512176798382787,0.562485122268516,0.997316987670929,0.574294988308023
"LSMEM1",0,0,0,0.861442482462035
"GM10327",0,0,0,0.574294988308023
"C1QTNF9",0,0,0.249329246917732,0.574294988308023
"SETDB2",122.922431611869,123.465484337939,129.900537644138,130.652109840075
"REG3B",0,0,0,0
"TBPL1",436.113422054959,394.844868853219,408.84261921829,437.317019171735
"MCPT9",0,0,0,0
"GM10330",0,0,0,0
"MAP3K5",207.68769174422,201.650916333263,211.680530633155,215.360620615509
"HPCAL1",552.894853854219,561.078909462845,549.521660206682,550.748893787394
"ECT2L",0,0,0,0
"2410004P03RIK",0,0,0,0
"GM6736",2.12553371328857,0.329053796527082,0,1.73724233963177
"RPL23",6051.12302802941,6007.36923008386,6220.28599844334,6651.48455458352
"RPS15-PS2",0,0.562485122268516,0,0
"GRID2",0,0,0,0
"VMN1R27",0,0,0,0
"9230019H11RIK",0,0,0,0
"PSMG4",102.691448075749,92.8100451743051,91.7531628657254,91.6000506351297
"SERPINB9H",0,0,0,0
