"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"QTRT1",131.89,109.97,112.95,122.04
"PLIN4",12.55,17.16,11.72,12.35
"HDGFL2",1105.79,1141,1127.97,1158.35
"CHAF1A",1808.63,1776.58,1871.62,1846.52
"ADPRH",602.32,571.48,631.3,613.63
"TMEM39A",496.3,506.24,518.11,493.03
"TIMMDC1",480.42,477.27,470.23,499.35
"PLA1A",52.24,50.9,52.61,51.97
"MCM2",4752.49,4668.63,4600.37,4780.72
"TPRA1",311.4,353.24,337.59,326.2
"NAB1",1379.29,1401.15,1385.27,1410.18
"ADGRE5",348.68,360.45,348.23,340.5
"IL17RA",345.46,360.27,365.77,362.38
"LAMB1",4229.3,3991.68,4268.27,3842.32
"KCNN1",116.01,104.62,103.97,116.87
"ARRDC2",73.5,95.34,84.27,78.68
"PPP1R17",0,0,0,0
"CD36",0,0.28,0.25,0
"MAP2K7",1010.99,1085.16,1050.74,1076.57
"TIMM44",654.05,680.33,621.33,663.31
"AP2A2",1072.5,1087.85,1127.22,1090.87
"PNKP",395.66,375.74,361.78,395.11
"MED25",627.93,598.2,652.74,639.19
"BCAM",3491,3322.6,3536.74,3413.61
"CLPTM1",1620.78,1686.89,1618.89,1600.56
"RELB",477.6,485.71,470.48,480.4
"TOMM40",791.57,749.79,800.1,824.69
"APOE",15.62,13.5,16.46,18.09
"APOC2",0,0,0,0
"HBP1",1244.33,1304.12,1259.11,1340.4
"PRKAR2B",368.77,380.8,387.46,381.04
"CDKN1B",1919.38,1985.57,1872.46,1944.85
"KLF4",59.41,70.87,60.34,59.15
"AP1M1",742.66,754.86,751.73,733.95
"RAB8A",1078.13,1058.88,1081.09,1125.91
"HMGN2",3981.22,4084.32,4084.99,4059.36
"FAM32A",722.68,757.67,710.09,732.51
"ELF3",593.36,595.11,584.68,566.83
"CYP2C29",0,0,0,0
"STARD3NL",210.5,208.4,192.98,196.7
"STK11",1534.48,1610.96,1613.9,1588.5
"EFNA2",257.88,259.59,264.29,258.72
"ATP5D",2156.01,2245.72,2268.4,2344.85
"PPP5C",726.52,723.92,707.1,746.01
"CDK12",640.48,671.89,637.53,617.08
"LIPE",96.29,79.59,90.26,97.92
"PAFAH1B2",1423.85,1380.06,1389.01,1379.17
"TBC1D8",78.37,76.26,97.62,80.17
"CNOT11",623.83,608.61,611.6,607.32
"SLC2A3",0.26,0.84,0.75,0.29
"FOXJ2",406.16,412.58,444.3,406.31
"SRI",842.27,761.89,796.36,801.14
"DGCR2",2497.21,2456.72,2556.79,2506.89
"IRF3",430.48,466.3,429.59,421.82
"BCL2L12",137.09,144.46,140.77,136.29
"ZFP959",86.56,91.69,85.52,78.68
"MPND",865.58,853.01,839.49,893.89
"SH3GL1",1685.06,1697.3,1636.85,1652.25
"EBI3",1.28,1.12,1.5,1.44
"YJU2",160.57,190.68,181.01,172.86
"RANBP2",1842.3,1945.92,2001.86,1898.33
"EDAR",0,0.84,0,0
"GRK5",26.89,25.87,27.18,26.13
"DVL3",623.06,554.05,602.13,619.66
"ABCF3",823.58,808.29,799.85,841.92
"EIF2B5",1304.77,1371.34,1306.98,1360.5
"CYTH2",1097.08,1142.13,1145.92,1144.57
"SULT2B1",118.31,121.22,113.2,120.03
"CAR11",9.73,12.66,11.22,11.2
"DLGAP1",0.51,0,0.5,0
"PLAG1",2.3,1.69,1,1.44
"HCK",0,0,0,0
"MRPL4",227.66,229.78,225.89,230.87
"KEAP1",674.53,675.79,634.29,685.42
"AP1M2",87.58,79.03,83.28,88.15
"GLG1",3674.36,3550.12,3770.11,3577.86
"ATP8B3",0.77,1.12,0,1.15
"BTBD2",781.84,841.76,816.3,831.29
"CSNK1G2",2164.2,2112.69,2063.2,2243.48
"ABHD17A",876.85,856.95,825.03,852.54
"MOB3A",284.53,276.49,261.35,291.6
"CACNB3",1255.6,1204.56,1262.6,1300.2
"CCDC65",68.38,64.4,57.1,57.72
"FKBP11",2.3,0.28,0,2.3
"DDX23",1447.41,1414.09,1451.84,1502.93
"PLD3",839.97,837.26,853.95,861.44
"GRIK5",457.63,481.49,513.37,481.26
"CD79A",0,0,0,0.29
"RABAC1",679.15,686.79,617.59,669.63
"ETV3",594.64,610.3,620.08,628.85
"PRKCSH",2061.77,2084.01,2026.8,2033
"ELAVL3",0,0,0,0
