"Gene.names","HK2_01","HK2_02"
"arl11",0,0.01
"arl13a",0,0.12
"arl13b",38.24,54.27
"arl14",0.1,0.28
"arl14ep",17.43,21.7
"arl14epl",0.1,0.15
"arl15",2.2,2.72
"arl16",108.43,119.47
"arl2",131.63,203.05
"arl2bp",105.47,115.96
"arl3",21.87,21
"arl4a",38.12,42.53
"arl4c",253.91,382.08
"arl4d",43.16,53.99
"arl5a",43.58,44.73
"arl5b",2.34,2.15
"arl5c",0,0.1
"arl6",12.97,10.6
"arl6ip1",313.16,208.67
"arl6ip4",325.7,347.52
"arl6ip5",184.68,136.48
"arl6ip6",107.1,53.82
"arl8a",11.81,16.66
"arl8b",65.04,57.56
"arl9",0,0.06
"armc1",44.72,38.16
"armc12",0.12,0.17
"armc2",1.8,3.98
"armc3",1.36,2.24
"armc4",0.6,0.37
"armc5",6.59,8.18
"armc6",26.66,42.5
"armc7",1.64,3
"armc8",60.58,60.02
"armc9",35.15,59.33
"armcx1",9.94,12.93
"armcx2",14.68,13.74
"armcx3",64.31,70.58
"armcx4",0.57,0.93
"armcx5",10.98,10.96
"armcx6",31.17,47.36
"armh1",0,0.2
"armh2",0,0
"armh3",16.73,12.22
"armh4",6.31,8.73
"armt1",69.88,46.7
"arnt",17.67,16.08
"arnt2",0.12,0.92
"arntl",15.37,17.71
"arntl2",18.51,15.36
"arpc1a",278.48,213.75
"arpc1b",442.02,665
"arpc2",869.47,691.35
"arpc3",566.19,549.65
"arpc4",91.66,139.93
"arpc5",275.49,234.64
"arpc5l",91.41,84.84
"arpin",2.28,5.21
"arpp19",54.35,36.16
"arpp21",0,0.03
"arr3",0.06,0
"arrb1",5.91,10.95
"arrb2",8.7,10.4
"arrdc1",60.93,74.36
"arrdc2",17.85,16.51
"arrdc3",143.39,46.97
"arrdc4",10.99,2.98
"arrdc5",0,0.05
"arsa",15.36,27.87
"arsb",7.1,5.57
"arsg",2.6,4.25
"arsi",0,0.13
"arsj",10.22,6.91
"arsk",11.29,10.21
"art1",0,0
"art3",0,0
"art4",0.63,0.04
"art5",0,1.31
"artn",0.28,0.91
"arv1",22.49,28.4
"arvcf",1.99,3.45
"arx",0.01,0.03
"as3mt",5.15,5.81
"asah1",129.8,279.37
"asah2",0.31,0.34
"asap1",17.59,20.21
"asap2",6.81,9.26
"asap3",19.51,33.43
"asb1",25.4,27.12
"asb10",0,0.05
"asb11",0,0.03
"asb12",0.42,0.39
"asb13",24.61,34.19
"asb14",0.09,0.32
"asb15",0,0.02
"asb16",0.07,0.22
"asb17",0,0.04
"asb18",0.44,0.89
"asb2",3.43,8.55
"asb3",23.51,24.11
"asb4",0,0
"asb5",0,1.56
"asb6",20.97,23.89
"asb7",5.83,5.4
"asb8",28.96,27.75
"asb9",22.47,16.02
"ascc1",44.97,37.08
"ascc2",63.66,62.02
"ascc3",10.84,28.89
"ascl1",0,0.02
"ascl2",0,0
"ascl3",0,0
"ascl4",0,0
"ascl5",0.04,0.23
"asf1a",34.36,30.19
"asf1b",87.74,109.59
"asgr1",0.15,0.32
"asgr2",0.05,0.1
"ash1l",13.86,22.81
"ash2l",28.43,20
"asic1",4.78,5.52
"asic2",0,0.02
"asic3",0.02,0.41
"asic4",0,0.07
"asic5",0,0
"asl",134.43,162.53
"asmt",0,0
"asna1",136.64,183.76
"asns",28.95,46.64
"asnsd1",43.15,30.35
"aspa",0,0.07
"aspdh",0,0.28
"aspg",1.06,0.9
"asph",404.17,174.68
"asphd1",68.24,71.63
"asphd2",5.58,5.71
"aspm",18.37,12.83
"aspn",0,0.04
"asprv1",0.25,0.22
"aspscr1",24.57,34.23
"asrgl1",19.99,35.79
"ass1",79.53,102.47
"aste1",13.09,18.57
"astl",0,0.04
"astn1",0,0.03
"astn2",13.75,12.11
"asxl1",16.46,19.58
