"Gene.names","X3d_wt_24h_1","X3d_wt_24h_2","X3d_wt_24h_3","X3d_wt_24h_4","X3d_wt_72h_1","X3d_wt_72h_2","X3d_wt_72h_3","X3d_wt_72h_4","X3d_wt_7d_1","X3d_wt_7d_2","X3d_wt_7d_3","X3d_wt_7d_4"
"GM15254",0,0,0,0,0,0,0,0,0,0,0,0
"MIR133A-1HG",0,0,0,0,0,0,0,0,0,0,0,0
"FIGNL2",317.260616932009,391.13226569471,413.892606089665,522.66357072007,312.821113529361,391.862737996734,397.202260140277,313.976032085137,452.623539217528,487.045671869631,362.371961724761,426.144883376601
"IGHV1-4",0,0,0,0,0,0,0,0,0,0,0,0
"IGHD2-4",0,0,0,0,0,0,0,0,0,0,0,0
"H2AL1I",0,0,0,0,0,0,0,0,0,0,0,0
"OR7E168",0,0,0,0,0,0,0,0,0,0,0,0
"GM20795",0,0,0,0,0,0,0,0,0,0,0,0
"MUP-PS3",0,0,0,0,0,0,0,0,0,0,0,0
"GVIN-PS5",5.643934885698,5.95473801939062,3.28983280503407,4.73422483084497,1.662545778198,0,2.00237053711573,2.89250842934959,4.46877011833885,4.5987713779255,2.12445873707984,11.9830221888968
"VMN2R-PS16",0,0,0,0,0,0,0,0,0,0,0,0
"GM21725",0,0,0,0,0,0,0,0,0,0,0,0
"ENTPD4",255.318937290405,305.16465313056,358.611146697517,296.070889931171,307.208458984918,296.055232636933,288.992454953956,279.093193310112,407.154986372009,364.03516398185,408.290619856215,438.038869530787
"GM6214",0,0.626814528356907,0,0,0,0,0,0,0,0,0,0
"GM3015",0,0,0,0,0,0,0,0,0,0,0,0
"GM21965",0,0,0,0,0,0,0,0,0,0,0,0
"GM21863",0,0,0,0,0,0,0,0,0,0,0,0
"CLDN34C2",0,0,0,0,0,0,0,0,0,0,0,0
"GM9824",3.03437359446129,4.93616441081064,4.84273720073711,4.50572043724199,3.12508604924437,4.56412506818159,2.29029309800819,4.06441465482378,4.3403183297633,5.30117738089394,3.0349410529712,3.68424971218964
"OR6C206",0,0,0,0,0,0,0,0,0,0,0,0
"OR5B121",0,0,0,0,0,0,0,0,0,0,0,0
