"Gene.names","Podo","PT.A","PT.B","PT.C","DL","tAL","TAL","DCT","CNT","PC","IC.PC","IC.A","IC.B","vSMC","Mono","Macro","NKcell","Tcell","Bcell","AVR","AEA.DVR","GC","Peri","Mesangial"
"H2AFY2",0,6.02383233136922,12.0024889371796,11.1674321941436,20.5657339616655,11.6601078559977,14.3481241699142,11.362489941614,12.5879676800227,11.5281748593563,7.58640382913112,5.60795789017408,8.69104214286335,8.2551647848822,3.39671028608792,10.3560263788704,0,5.18627814528321,0,0.374634965055924,5.13882776798286,10.6945618865778,2.37108415451881,23.5488048981514
"AIFM2",19.8720241643814,12.5603312441316,10.1073591049934,8.93394575531486,13.2208289753564,6.24648635142732,4.15887657098963,7.23067541739074,9.6260929317821,12.5761907556614,8.19331613546161,9.7314563388315,17.3820842857267,4.71723701993268,1.69835514304396,2.07120527577408,4.51375567040556,2.5931390726416,0,1.12390489516777,3.27016312508,0.712970792438517,0,23.5488048981514
"TYSND1",0,6.28016562206578,5.05367955249668,4.46697287765743,10.2828669808327,5.83005392799883,8.52569697052874,8.95226480248377,5.18328080942113,8.38412717044092,9.71059690128784,10.2262761526704,8.69104214286335,4.71723701993268,0,6.90401758591359,9.02751134081112,2.5931390726416,14.9354043760735,4.49561958067108,3.73732928580572,5.70376633950814,11.8554207725941,0
"SAR1A",59.6160724931442,57.41865711603,82.122292728071,62.537620287204,70.5110878685673,78.7057280279843,51.7780133088209,55.4351781999957,65.1612444612942,64.9769855709171,76.4709505976417,75.2126117035112,86.9104214286335,74.2964830639398,90.01282258133,69.0401758591359,76.7338463968945,67.4216158886817,44.8062131282204,88.413851753198,83.6227427699029,89.1213490548146,116.183123571422,109.89442285804
"PPA1",158.976193315051,235.442127504793,138.344477749596,205.480752372242,133.677270750826,134.507672767402,70.7009017068237,58.1897212161445,64.4207757742341,77.5531763265785,104.388916688844,95.0054042570668,134.711153214382,84.9102663587883,47.5539440052309,218.16695571487,27.0825340224334,111.504980123589,134.418639384661,80.5465174870236,252.269726791886,73.4359916211672,82.9879454081584,353.232073472271
"NPFFR1",0,0,0.631709944062084,1.11674321941436,0,1.24929727028546,0.415887657098963,0.688635754037213,0.740468687060162,1.04801589630512,1.82073691899147,0.49481981383889,0,0,0,1.38080351718272,0,2.5931390726416,0,1.12390489516777,0,0,0,0
"LRRC20",19.8720241643814,0.256333290696563,1.89512983218625,2.23348643882872,0,0.832864846856976,0.415887657098963,0,0,1.04801589630512,2.12419307215671,0.329879875892593,0,1.17930925498317,0,2.07120527577408,0,0,0,1.12390489516777,1.40149848217714,2.13891237731555,2.37108415451881,0
"EIF4EBP2",19.8720241643814,118.810480237857,65.0661242383947,36.8525262406738,41.1314679233309,43.3089720365628,36.8060576532582,28.2340659155257,40.7257777883089,40.8726199558995,59.7808621735532,52.7807801428149,21.7276053571584,30.6620406295625,40.7605234330551,38.6624984811161,40.62380103365,44.0833642349073,14.9354043760735,40.8352111910957,31.7672989293486,51.3338970555732,37.937346472301,7.84960163271714
"NODAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467166160725715,0,0,0
"PALD1",0,0.128166645348281,0,1.11674321941436,1.46898099726182,0.832864846856976,0.623831485648445,0,0.740468687060162,0,0.60691230633049,0,0,9.43447403986537,0,12.4272316546445,0,0,0,15.7346685323488,7.94182473233715,13.5464450563318,11.8554207725941,0
